"unidade","mes","ano","porte","quantidade"
CSSI,Janeiro,2022,PORTE I (0 A 2 HORAS),0
CSSI,Janeiro,2022,PORTE II ( 2 A 4 HORAS),0
CSSI,Janeiro,2022,PORTE III (4 A 5 HORAS),0
CSSI,Janeiro,2022,PORTE IV (ACIMA 6 HORAS),0
HAC,Janeiro,2022,PORTE I (0 A 2 HORAS),26
HAC,Janeiro,2022,PORTE II ( 2 A 4 HORAS),28
HAC,Janeiro,2022,PORTE III (4 A 5 HORAS),6
HAC,Janeiro,2022,PORTE IV (ACIMA 6 HORAS),5
HCM,Janeiro,2022,PORTE I (0 A 2 HORAS),0
HEM,Janeiro,2022,PORTE I (0 A 2 HORAS),30
HEM,Janeiro,2022,PORTE II ( 2 A 4 HORAS),0
HEM,Janeiro,2022,PORTE III (4 A 5 HORAS),0
HEM,Janeiro,2022,PORTE IV (ACIMA 6 HORAS),0
HGBJA,Janeiro,2022,PORTE I (0 A 2 HORAS),113
HGBJA,Janeiro,2022,PORTE II ( 2 A 4 HORAS),20
HGBJA,Janeiro,2022,PORTE III (4 A 5 HORAS),1
HJK,Janeiro,2022,PORTE I (0 A 2 HORAS),9
HJK,Janeiro,2022,PORTE II ( 2 A 4 HORAS),6
HJK,Janeiro,2022,PORTE III (4 A 5 HORAS),2
HJK,Janeiro,2022,PORTE IV (ACIMA 6 HORAS),0
HJXXIII,Janeiro,2022,PORTE I (0 A 2 HORAS),424
HJXXIII,Janeiro,2022,PORTE II ( 2 A 4 HORAS),139
HJXXIII,Janeiro,2022,PORTE III (4 A 5 HORAS),23
HJXXIII,Janeiro,2022,PORTE IV (ACIMA 6 HORAS),4
HMAL,Janeiro,2022,PORTE I (0 A 2 HORAS),92
HMAL,Janeiro,2022,PORTE II ( 2 A 4 HORAS),26
HMAL,Janeiro,2022,PORTE III (4 A 5 HORAS),3
HMAL,Janeiro,2022,PORTE IV (ACIMA 6 HORAS),0
HRAD,Janeiro,2022,PORTE I (0 A 2 HORAS),211
HRAD,Janeiro,2022,PORTE II ( 2 A 4 HORAS),29
HRAD,Janeiro,2022,PORTE III (4 A 5 HORAS),3
HRAD,Janeiro,2022,PORTE IV (ACIMA 6 HORAS),2
HRJP,Janeiro,2022,PORTE I (0 A 2 HORAS),16
HRJP,Janeiro,2022,PORTE II ( 2 A 4 HORAS),4
HRJP,Janeiro,2022,PORTE III (4 A 5 HORAS),0
MOV,Janeiro,2022,PORTE I (0 A 2 HORAS),10
MOV,Janeiro,2022,PORTE II ( 2 A 4 HORAS),1
